  
       XFOIL         Version 6.96
  
 Calculated polar for: RG-15                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.010     Re =     0.120 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -1.000  -0.0511   0.01273   0.00688  -0.0228   0.9900   1.0000
   0.000   0.1429   0.01349   0.00714  -0.0418   0.9523   1.0000
   1.000   0.3172   0.01320   0.00663  -0.0545   0.9050   1.0000
   2.000   0.4700   0.01243   0.00589  -0.0608   0.8444   1.0000
   3.000   0.5896   0.01216   0.00553  -0.0599   0.7550   1.0000
   4.000   0.6916   0.01271   0.00582  -0.0561   0.6387   1.0000
   5.000   0.7842   0.01393   0.00694  -0.0512   0.4962   1.0000
   6.000   0.8679   0.01590   0.00848  -0.0459   0.3223   1.0000
   7.000   0.9395   0.02020   0.01186  -0.0399   0.1453   1.0000
   8.000   1.0089   0.02497   0.01671  -0.0347   0.0466   1.0000
