J       CT       CP       eta
0.162   0.0936   0.0465   0.327
0.200   0.0875   0.0455   0.385
0.243   0.0809   0.0447   0.440
0.283   0.0742   0.0436   0.482
0.330   0.0654   0.0421   0.512
0.366   0.0582   0.0407   0.524
0.413   0.0482   0.0385   0.518
0.442   0.0418   0.0369   0.501
0.488   0.0306   0.0339   0.440
0.535   0.0183   0.0307   0.320
0.574   0.0075   0.0275   0.156
0.600   -0.0000   0.0254   -0.001
0.647   -0.0145   0.0212   -0.444
0.690   -0.0281   0.0170   -1.144
0.730   -0.0409   0.0130   -2.289
0.777   -0.0572   0.0077   -5.747
